x,y,z,type,is_movable,volume
-88.831706,279.014049,0.0,CAF,1,632.0890655750894
398.122652,227.933803,0.0,mesenchymal_tumor_class1,1,1460.4427590910843
-267.528452,133.604791,0.0,epithelial_tumor_class1,1,2524.7773885708584
-264.419570,66.213172,0.0,mesenchymal_tumor_class1,1,1460.4427590910843
-416.299827,-246.232083,0.0,apCAF,1,356.63547220320356
-297.663239,321.291085,0.0,CD8_Tcell,1,691.2235164015386
362.627222,50.113138,0.0,epithelial_tumor_class1,1,1886.4729547801044
66.497812,-85.766067,0.0,CAF,1,601.8462973758247
310.749243,-293.823026,0.0,CD4_Tcell,1,875.8678523444987
-7.508959,406.203472,0.0,CD4_Tcell,1,872.485557905746
-436.435199,-218.538955,0.0,epithelial_tumor_class1,1,1001.8364198503963
-201.531963,423.935797,0.0,CAF,1,945.3154186361311
-324.914386,-92.914352,0.0,epithelial_tumor_class1,1,1503.9066619330863
107.371109,269.347472,0.0,CAF,1,569.671087319423
274.616593,277.049330,0.0,CD4_Tcell,1,1009.1509099407396
136.647288,196.258128,0.0,mesenchymal_tumor_class1,1,1376.4142835429113
416.271992,-123.363914,0.0,CD4_Tcell,1,722.7682721100255
363.869606,290.830511,0.0,epithelial_tumor_class1,1,609.7924847551892
-246.968371,78.000604,0.0,epithelial_tumor_class1,1,1291.8311223157996
433.569351,-199.704211,0.0,CAF,1,831.1633001247284
-306.067221,104.484391,0.0,mesenchymal_tumor_class1,1,990.9335305442142
66.241762,-200.150105,0.0,epithelial_tumor_class1,1,1731.5150000620292
-190.583445,235.781064,0.0,epithelial_tumor_class1,1,916.2724640728467
284.220083,-401.744912,0.0,mesenchymal_tumor_class1_class2,1,572.0005511638955
290.995175,219.531233,0.0,mesenchymal_tumor_class1,1,835.9176475070124
-352.111540,226.758122,0.0,epithelial_tumor_class1,1,1677.8277830933043
-195.322116,117.018122,0.0,mesenchymal_tumor_class1,1,762.4199078812305
-137.238361,-261.141385,0.0,epithelial_tumor_class1,1,1176.3700212670963
59.024070,191.782702,0.0,epithelial_tumor_class1,1,2028.401503320241
-267.983640,-201.400828,0.0,CD4_Tcell,1,937.9516504908512
374.894322,44.612161,0.0,epithelial_tumor_class1,1,808.312054461221
128.143462,252.660782,0.0,epithelial_tumor_class1,1,2524.7773885708584
-157.633785,-178.684771,0.0,epithelial_tumor_class1,1,1105.5207078836288
152.051841,99.786698,0.0,mesenchymal_tumor_class1,1,1191.4968367685003
-12.226525,-361.240015,0.0,apCAF,1,267.5501119036789
-475.554647,-93.962569,0.0,CD4_Tcell,1,985.2245546846158
-301.580893,36.061832,0.0,CD4_Tcell,1,605.9751836956956
-163.951465,374.209492,0.0,mesenchymal_tumor_class1,1,963.8342526967327
-55.497453,332.613107,0.0,CD8_Tcell,1,713.7313499216341
-111.105842,273.962481,0.0,CD4_Tcell,1,373.98213689078995
1.690253,263.987329,0.0,apCAF,1,87.03691137729085
-350.267241,-324.638776,0.0,mesenchymal_tumor_class1,1,663.0893110666447
-220.316304,328.320325,0.0,mesenchymal_tumor_class1,1,1095.5203327686481
-211.253321,112.387991,0.0,mesenchymal_tumor_class1,1,670.193383913061
