x,y,z,type
54.459391040451486,-168.342358517509,0.0,CAF
124.81180021526127,80.62997990996598,0.0,CAF
-11.998236248333846,-55.49008010897218,0.0,CAF
-122.20744421693271,53.361108927566036,0.0,CAF
135.49021065216056,46.72022171053322,0.0,CAF
-62.800965112154394,55.241248686548914,0.0,CAF
111.49864624277525,31.584450045522132,0.0,CAF
46.99471448088266,136.5134683585646,0.0,CAF
80.85455078266071,-30.77876354965409,0.0,CAF
-39.34632792148856,72.82077840885688,0.0,CAF
121.63972266635366,-31.8136775179823,0.0,CAF
-38.06669328859461,-125.62964868014303,0.0,CAF
77.05657399271142,105.49033017915569,0.0,CAF
-44.19338349227571,48.73134611840554,0.0,CAF
40.44897592463808,113.95722401692198,0.0,CAF
52.26742678035305,142.18643927232344,0.0,CAF
74.09595933758207,152.44466921366592,0.0,CAF
140.02971835171365,-83.97713682859877,0.0,CAF
169.66141154209302,-30.289108467902356,0.0,CAF
-153.729688181837,87.75581719793367,0.0,CAF
3.3077249580887584,-2.9452494447819766,0.0,CAF
-126.63668608612672,71.47016396005979,0.0,CAF
-87.989055124751,-35.859302016123436,0.0,CAF
83.88036919900048,-30.299555926252346,0.0,CAF
-137.32793907445648,43.91639195264189,0.0,CAF
72.69157848784273,58.83790408907097,0.0,CAF
158.74117540365472,90.82553289647934,0.0,CAF
151.8993359240847,-36.24637668101361,0.0,CAF
105.46038118570742,-146.12129597924613,0.0,CAF
-106.39206940154833,-58.155426294825595,0.0,CAF
173.9360096833232,-26.59344777534485,0.0,CAF
151.55687803527357,26.62331204842554,0.0,CAF
-69.99772206574582,-60.19092056011431,0.0,CAF
-108.8430222998593,-124.5890787358726,0.0,CAF
9.017673604648403,88.15606444740546,0.0,CAF
77.78772055451158,-53.221139201690676,0.0,CAF
78.84579385267945,-93.52326698257144,0.0,CAF
-38.04049439135469,-88.96064277201097,0.0,CAF
-99.83213713177416,-97.21954515399095,0.0,CAF
-196.56327369520406,-14.561819608098551,0.0,CAF
33.20807716397006,140.8259679350767,0.0,CAF
-95.98065040059474,-60.18215513470048,0.0,CAF
43.28028857213781,-38.358084767633784,0.0,CAF
-196.10272985153182,-9.120299237166014,0.0,CAF
